key,code,moment,duration-start,duration-end,amount,type,email-contact,link,draft-mode,key:project,key:sponsor
sponsorship-01,SPO-000,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-02,ACS-666,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-03,AC-666,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-04,A-666,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-05,SPO-005,2000/01/01 00:00,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-06,SPO-006,2000/01/01 00:01,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-07,SPO-007,2022/07/29 23:58,2022/08/01 23:59,2022/10/29 23:59,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-08,SPO-008,2022/07/29 23:59,2022/08/01 00:00,2022/10/29 00:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-09,SPO-009,2010/010/10 20:42,2013/07/27 12:00,2013/09/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-10,SPO-010,2000/01/01 00:00,2001/01/01 00:01,2200/12/31 23:59,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-11,SPO-011,2000/01/01 00:00,2001/01/01 00:02,2200/12/31 23:58,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-12,SPO-012,2000/01/01 00:00,2001/01/01 00:00,2001/02/01 00:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-13,SPO-013,2000/01/01 00:00,2001/01/01 00:00,2001/02/01 00:01,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-14,SPO-014,2022/07/29 23:59,2022/09/01 00:00,2022/11/01 00:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-15,SPO-015,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,USD 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-16,SPO-016,2013/06/24 14:40,2013/06/27 12:00,2019/08/27 12:00,GBP 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-17,SPO-017,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 0.01,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
