key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-manager-01,true,"UserIdentity{name: 'LeBron', surname: 'James', email: 'lebronjames@acme.com'}", manager1, manager1
user-account-manager-02,true,"UserIdentity{name: 'Bronny', surname: 'James', email: 'bronnyjames@acme.com'}", manager2, manager2
user-account-client-01,true,"UserIdentity{name: 'John', surname: 'Client', email: 'john@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'Juanillo', surname: 'Караџић', email: 'juanillo@acme.com'}",client2,client2
user-account-sponsor-01,true,"UserIdentity{name: 'Alberto', surname: 'Carmona', email: 'albcarsic@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Javier', surname: 'Iniesta', email: 'javi@acme.com'}",sponsor2,sponsor2
user-account-developer-01,true,"UserIdentity{name: 'Rafael',surname: 'Pulido', email: 'rafpulcif@acme.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'Doe',surname: 'John', email: 'doe@acme.com'}",developer2,developer2
